Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,borderleaf1,Ethernet1,192.168.99.0/31,l3leaf,borderleaf2,Ethernet1,192.168.99.1/31
l3leaf,borderleaf1,Ethernet2,192.168.99.2/31,l3leaf,borderleaf2,Ethernet2,192.168.99.3/31
l3leaf,borderleaf1,Ethernet3,192.168.103.9/31,spine,spine1,Ethernet7,192.168.103.8/31
l3leaf,borderleaf1,Ethernet4,192.168.103.11/31,spine,spine2,Ethernet7,192.168.103.10/31
l3leaf,borderleaf2,Ethernet5,192.168.3.9/31,spine,spine3,Ethernet8,192.168.3.8/31
l3leaf,borderleaf2,Ethernet6,192.168.3.11/31,spine,spine4,Ethernet8,192.168.3.10/31
l3leaf,leaf1,Ethernet3,192.168.103.1/31,spine,spine1,Ethernet3,192.168.103.0/31
l3leaf,leaf1,Ethernet4,192.168.103.3/31,spine,spine2,Ethernet3,192.168.103.2/31
l3leaf,leaf2,Ethernet3,192.168.103.5/31,spine,spine1,Ethernet4,192.168.103.4/31
l3leaf,leaf2,Ethernet4,192.168.103.7/31,spine,spine2,Ethernet4,192.168.103.6/31
l3leaf,leaf3,Ethernet5,192.168.3.1/31,spine,spine3,Ethernet5,192.168.3.0/31
l3leaf,leaf3,Ethernet6,192.168.3.3/31,spine,spine4,Ethernet5,192.168.3.2/31
l3leaf,leaf4,Ethernet5,192.168.3.5/31,spine,spine3,Ethernet6,192.168.3.4/31
l3leaf,leaf4,Ethernet6,192.168.3.7/31,spine,spine4,Ethernet6,192.168.3.6/31
